"home_name","url","licensee","home_type","beds","additional_information","status","inspections"
"ARBOUR HEIGHTS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2982","Axr Operating (National) Lp, By Its General Partners","For-Profit",174,"","Open",72
"ATIKOKAN GENERAL HOSPITAL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2756","Atikokan General Hospital","Non-Profit",26,"","Open",6
"AU CHATEAU","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M502","The Board Of Management Of The District Of Nipissing West","Municipal",162,"","Open",50
"AVALON RETIREMENT CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2715","488491 Ontario Inc.","For-Profit",137,"","Open",27
"BABCOCK COMMUNITY CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2626","Babcock Community Care Centre Inc.","For-Profit",60,"","Open",29
"BANWELL GARDENS CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2263","Rykka Care Centres Lp","For-Profit",142,"","Open",72
"BARNSWALLOW PLACE CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2830","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",96,"","Open",17
"BAY HAVEN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2657","Bay Haven Nursing Home Incorporated","For-Profit",60,"","Open",13
"BAY RIDGES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2895","Axr Operating (National) Lp","For-Profit",124,"","Open",56
"BAYFIELD MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2772","Cvh (No. 7) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",66,"","Open",17
"BAYWOODS PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2581","Baywoods Place Operating Inc.","For-Profit",128,"","Open",47
"BELLA SENIOR CARE RESIDENCES INC.","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2890","Bella Senior Care Residences Inc.","For-Profit",161,"","Open",66
"BELMONT HOUSE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C506","Toronto Aged Men's And Women's Homes","Non-Profit",140,"","Open",13
"BELMONT LONG TERM CARE FACILITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2901","Belcrest Nursing Homes Limited","For-Profit",128,"","Open",36
"BELVEDERE HEIGHTS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M503","Board Of Management Of The District Of Parry Sound West","Municipal",101,"","Open",41
"BENDALE ACRES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M504","Toronto Long-term Care Homes And Services","Municipal",302,"Pavillon Omer Deslauriers, 37 beds, long term care services provided in French and English.","Open",40
"BENNETT CENTRE LONG TERM CARE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2816","Bennett Centre Long Term Care At Bennett Village","Non-Profit",66,"","Open",25
"BERKSHIRE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2541","Rykka Care Centres Lp","For-Profit",231,"","Open",173
"BETHAMMI NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2687","St. Joseph's Care Group","Non-Profit",110,"","Open",34
"BETHANY LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C507","Bethany Lodge","Non-Profit",128,"","Open",10
"BILLINGS COURT MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2938","Maryban Holdings Ltd.","For-Profit",160,"","Open",23
"BLACKADAR CONTINUING CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2641","Blackadar Continuing Care Centre Inc.","For-Profit",80,"","Open",32
"BLENHEIM COMMUNITY VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2695","Revera Long Term Care Inc.","For-Profit",65,"","Open",34
"BLOOMINGTON COVE CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2697","Specialty Care Inc.","For-Profit",112,"","Open",37
"BLUE WATER REST HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C508","Blue Water Rest Home","Non-Profit",65,"","Open",20
"BOB RUMBALL HOME FOR THE DEAF","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2967","The Ontario Mission Of The Deaf","Non-Profit",64,"","Open",33
"BOBIER VILLA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M603","The Corporation Of The County Of Elgin Municipal Homes","Municipal",57,"","Open",16
"BON AIR LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2613","Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.","For-Profit",57,"","Open",19
"BONNECHERE MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M506","County Of Renfrew","Municipal",180,"","Open",45
"BONNIE BRAE HEALTH CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0886","Grosvenor Health Care Partnership (No. 3)","For-Profit",80,"Home Closed on 08/08/2014","Closed",13
"BRADFORD VALLEY CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2905","Specialty Care - Bradford Inc.","For-Profit",246,"","Open",44
"BRAEMAR RETIREMENT CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2788","Macgowan Nursing Homes Ltd.","For-Profit",69,"","Open",39
"BRIERWOOD GARDENS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2678","Revera Long Term Care Inc.","For-Profit",79,"","Open",49
"BROADVIEW NURSING CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2684","Broadview Nursing Centre Limited","For-Profit",75,"","Open",32
"BROUILLETTE MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2301","1230839 Ontario Limited","For-Profit",60,"","Open",29
"BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M507","Corporation Of The County Of Bruce","Municipal",144,"","Open",76
"BURLOAK","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2857","Axr Operating (National) Lp","For-Profit",144,"","Open",24
"BURNBRAE GARDENS LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2686","0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership","For-Profit",43,"","Open",25
"BURTON MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2953","1245556 Ontario Inc.","For-Profit",128,"","Open",28
"CAMA WOODLANDS NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2774","The Central Canadian District Of The Christian And Missionary Alliance In Canada","Non-Profit",134,"","Open",13
"CAMBRIDGE COUNTRY MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2651","Caressant-care Nursing And Retirement Homes Limited","For-Profit",80,"","Open",35
"CAMBRIDGE MEMORIAL HOSPITAL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7083","Lutheran Homes Kitchener-waterloo","Non-Profit",35,"Home Closed on 10/31/2013","Closed",1
"CAMILLA CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2472","Partners Community Health","For-Profit",237,"","Open",59
"CAREFREE LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M596","Toronto Long-term Care Homes And Services","Municipal",127,"","Open",18
"CARESSANT CARE ARTHUR NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2748","Caressant-care Nursing And Retirement Homes Limited","For-Profit",80,"","Open",65
"CARESSANT CARE BOURGET","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1160","Caressant-care Nursing And Retirement Homes Limited","For-Profit",60,"","Open",101
"CARESSANT CARE COBDEN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2827","Caressant-care Nursing And Retirement Homes Limited","For-Profit",64,"","Open",21
"CARESSANT CARE COURTLAND","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2826","Caressant-care Nursing And Retirement Homes Limited","For-Profit",55,"","Open",30
"CARESSANT CARE FERGUS NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2603","Caressant-care Nursing And Retirement Homes Limited","For-Profit",87,"","Open",62
"CARESSANT CARE HARRISTON","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2595","Caressant-care Nursing And Retirement Homes Limited","For-Profit",92,"","Open",23
"CARESSANT CARE LINDSAY NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2701","Caressant-care Nursing And Retirement Homes Limited","For-Profit",124,"","Open",53
"CARESSANT CARE LISTOWEL NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2664","Caressant-care Nursing And Retirement Homes Limited","For-Profit",52,"","Open",27
"CARESSANT CARE MARMORA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2718","Caressant-care Nursing And Retirement Homes Limited","For-Profit",84,"","Open",45
"CARESSANT CARE ON BONNIE PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2730","Caressant-care Nursing And Retirement Homes Limited","For-Profit",116,"","Open",96
"CARESSANT CARE ON MARY BUCKE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2627","Caressant-care Nursing And Retirement Homes Limited","For-Profit",60,"","Open",39
"CARESSANT CARE ON MCLAUGHLIN ROAD","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2916","Caressant-care Nursing And Retirement Homes Limited","For-Profit",96,"","Open",40
"CARESSANT CARE WOODSTOCK NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2636","Caressant-care Nursing And Retirement Homes Limited","For-Profit",163,"","Open",98
"CARLETON LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M508","City Of Ottawa","Municipal",161,"","Open",25
"CARLINGVIEW MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2420","Carlingview Manor Operating Inc.","For-Profit",303,"","Open",106
"CARVETH CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2683","Carveth Nursing Home Limited","For-Profit",104,"","Open",28
"CASE MANOR CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0958","Specialty Care Case Manor Inc.","For-Profit",96,"","Open",25
"CASSELLHOLME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M509","Board Of Management Of The District Of Nipissing East","Municipal",240,"","Open",53
"CASTLEVIEW WYCHWOOD TOWERS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M510","Toronto Long-term Care Homes And Services","Municipal",456,"","Open",78
"CAWTHRA GARDENS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2912","Delcare Ltc Inc.","For-Profit",192,"","Open",24
"CEDARVALE LODGE RETIREMENT AND CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2769","Specialty Care Inc.","For-Profit",60,"","Open",17
"CEDARVALE TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2591","Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership","For-Profit",218,"","Open",64
"CEDARWOOD LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7093","Autumnwood Mature Lifestyle Communities Inc.","For-Profit",50,"","Open",28
"CEDARWOOD VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2768","Maplewood Nursing Home Limited","For-Profit",91,"","Open",36
"CENTENNIAL PLACE LONG-TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2903","Centennial Place Millbrook Inc.","For-Profit",128,"","Open",30
"CENTRE D'ACCUEIL CHAMPLAIN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M511","City Of Ottawa","Municipal",160,"","Open",118
"CENTRE D'ACCUEIL ROGER SEGUIN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C516","Centre D'accueil Roger Seguin","Non-Profit",110,"","Open",48
"CHAMPLAIN LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0925","Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.","For-Profit",60,"","Open",19
"CHARTWELL AURORA LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2630","Chartwell Master Care Lp","For-Profit",235,"","Open",34
"CHARTWELL AYLMER LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2740","Chartwell Master Care Lp","For-Profit",64,"","Open",30
"CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2658","Chartwell Master Care Lp","For-Profit",100,"","Open",63
"CHARTWELL BRANT CENTRE LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2900","Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner","For-Profit",175,"","Open",40
"CHARTWELL ELMIRA LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2471","Chartwell Master Care Lp","For-Profit",48,"","Open",14
"CHARTWELL GIBSON LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2556","Chartwell Master Care Lp","For-Profit",202,"","Open",53
"CHARTWELL LONDON LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2919","Chartwell Master Care Lp","For-Profit",95,"","Open",42
"CHARTWELL PARKHILL LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2632","Chartwell Master Care Lp","For-Profit",59,"","Open",17
"CHARTWELL PINE GROVE LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2808","Chartwell Master Care Lp","For-Profit",101,"","Open",17
"CHARTWELL ROYAL OAK LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2939","Chartwell Master Care Lp","For-Profit",160,"","Open",87
"CHARTWELL TRILOGY LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2899","Trilogy Ltc Inc.","For-Profit",197,"","Open",38
"CHARTWELL WATERFORD LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2908","Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner","For-Profit",168,"","Open",41
"CHARTWELL WENLEIGH LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2833","Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner","For-Profit",161,"","Open",27
"CHARTWELL WESTBURY LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2943","Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner","For-Profit",187,"","Open",22
"CHARTWELL WESTMOUNT LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2880","Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner","For-Profit",161,"","Open",47
"CHARTWELL WHITE EAGLE LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2583","Chartwell Master Care Lp","For-Profit",57,"","Open",10
"CHARTWELL WILLOWGROVE LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2921","Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner","For-Profit",169,"","Open",23
"CHARTWELL WOODHAVEN LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2888","Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner","For-Profit",192,"","Open",38
"CHARTWELL WYNFIELD LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2885","Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner","For-Profit",172,"","Open",34
"CHATEAU PARK LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2712","Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.","For-Profit",59,"","Open",13
"CHELSEY PARK","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2655","Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",247,"","Open",79
"CHELTENHAM CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0922","Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.","For-Profit",170,"","Open",32
"CHESTER VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2970","Broadview Foundation","Non-Profit",203,"","Open",24
"CHRISTIE GARDENS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2733","Christie Gardens Apartments And Care Inc.","Non-Profit",0,"CLOSED Effective March 31, 2013","Closed",0
"CLARION NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2721","Clarion Nursing Homes Limited","For-Profit",100,"","Open",19
"COLEMAN CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2696","Oakwood Retirement Communities Inc.","For-Profit",112,"","Open",19
"COLLINGWOOD NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2781","Collingwood Nursing Home Limited","For-Profit",60,"","Open",20
"COLUMBIA FOREST","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2856","Revera Long Term Care Inc.","For-Profit",156,"","Open",49
"COOKSVILLE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2124","Rykka Care Centres Lp","For-Profit",192,"","Open",68
"COPERNICUS LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2937","Copernicus Lodge","Non-Profit",228,"","Open",27
"COPPER TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1115","Copper Terrace Limited","For-Profit",138,"","Open",98
"COUNTRY LANE LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1027","Grosvenor Health Care Partnership (No. 3)","For-Profit",34,"","Open",17
"COUNTRY TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0907","Omni Healthcare (Ct) Gpco Ltd. As General Partner Of Omni Healthcare (Country Terrace) Limited Partnershippartner","For-Profit",120,"","Open",83
"COUNTRY VILLAGE HOMES - WOODSLEE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2576","Cvh (No. 5) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",104,"","Open",64
"CRAIGHOLME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2622","Craigwiel Gardens","Non-Profit",83,"stutti@craigwielgardens.on.ca","Open",60
"CRAIGLEE NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2503","Craiglee Nursing Home Limited","For-Profit",169,"","Open",64
"CREEDAN VALLEY CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2633","2063412 Ontario Limited As General Partner Of 2063412 Investment Lp","For-Profit",95,"","Open",33
"CREEK WAY VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M623","The Regional Municipality Of Halton","Municipal",144,"","Open",29
"CRESCENT PARK LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2587","955464 Ontario Limited","For-Profit",68,"","Open",24
"CROWN RIDGE PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2787","Crown Ridge Health Care Services Inc.","For-Profit",116,"","Open",23
"CUMMER LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M512","Toronto Long-term Care Homes And Services","Municipal",391,"","Open",49
"DAWSON COURT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M513","The Corporation Of The City Of Thunder Bay","Municipal",150,"Home Closed on 01/27/2016","Closed",19
"DEARNESS HOME FOR SENIOR CITIZENS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M514","The Corporation Of The City Of London","Municipal",243,"Datars Bere, Dearness Home Managing Director","Open",78
"DEER PARK VILLA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M611","The Regional Municipality Of Niagara","Municipal",39,"","Open",10
"DEERWOOD CREEK CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2837","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",160,"","Open",33
"DELHI LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2660","Delhi Nursing Home Ltd.","For-Profit",60,"","Open",22
"DERBECKER'S HERITAGE HOUSE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2134","Derbecker's Heritage House Limited","For-Profit",73,"","Open",10
"DOM LIPA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2794","Slovenian Linden Foundation","Non-Profit",66,"","Open",7
"DOUGLAS H. RAPELJE LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M604","The Regional Municipality Of Niagara","Municipal",120,"","Open",31
"DOVER CLIFFS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1056","Dover Cliffs Operating Inc.","For-Profit",70,"","Open",33
"DOWNSVIEW LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1041","Gem Health Care Group Limited","For-Profit",252,"","Open",70
"DUFFERIN OAKS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M516","Corporation Of The County Of Dufferin","Municipal",160,"","Open",24
"DUNDAS MANOR NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2674","Rural Healthcare Innovations Inc.","Non-Profit",98,"","Open",38
"DUNDURN PLACE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2739","Rykka Care Centres Lp","For-Profit",201,"","Open",49
"E. J. MCQUIGGE LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2668","Keay Nursing Homes Inc.","For-Profit",57,"","Open",25
"EAGLE TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2240","Revera Long Term Care Inc.","For-Profit",70,"","Open",8
"EARLS COURT VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3047","Sharon Farms & Enterprises Limited","For-Profit",128,"","Open",92
"EASTHOLME HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M517","East District Of Parry Sound Home For The Aged","Municipal",128,"","Open",21
"EATONVILLE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2468","Rykka Care Centres Lp","For-Profit",247,"","Open",42
"EDEN HOUSE NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2777","Eden House Care Facility Inc.","For-Profit",59,"","Open",14
"EDGEWATER GARDENS LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2963","Haldimand War Memorial Hospital","Non-Profit",64,"","Open",19
"EHATARE NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2804","Estonian Relief Committee In Canada","Non-Profit",32,"","Open",6
"ELGIN ABBEY NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2725","Capricorn Investments Corporation Limited","For-Profit",27,"","Open",26
"ELGIN MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M518","The Corporation Of The County Of Elgin Municipal Homes","Municipal",90,"","Open",42
